gene	CD45RA+Cyt-	CSF+	IFN+	IL17A+	IL17A+GMCSF+INF-
DPM1	473.957706760571	517.316758421612	478.843544613024	497.661409751681	514.565458912588
SCYL3	81.2568723210248	67.1888265423781	66.5650392741699	76.2130131711276	72.8662846802455
C1orf112	842.559722276871	698.792101439714	552.075877335399	637.903344002303	176.805292669881
FGR	3.10417470386885	4.8090084331882	5.86881173328741	27.6794807414161	0.48718892075553
CFH	7.38692485865959	177.696771630951	68.1291467104716	57.9295797172371	217.09836532378
FUCA2	18.2889513902502	20.1322900061762	19.4090940446799	27.1581526643838	30.4419266198246
GCLC	386.071672713773	372.137786479553	409.760992971544	432.746156539863	413.639508406813
NFYA	1755.55396442885	2005.99855001854	1910.63785892933	1567.03677100505	1894.2348571745
STPG1	18.4154225360832	14.2536434272001	16.8345641288356	23.9971472934433	15.9846286207609
NIPAL3	201.468477772194	230.528159284159	217.715472548204	211.924443445797	268.922920647366
LAS1L	1374.57121152528	1146.07062458557	1228.81772959707	1140.67377779927	1224.70976311665
ENPP4	111.516943396527	114.462652779203	161.285884335913	86.4233893207766	68.1916870509822
ANKIB1	587.971808790021	296.33272701047	349.297966192773	372.128142352002	319.78517817939
CYP51A1	35.7071967456961	38.5800212291083	29.9762309849449	49.9840359467055	30.4419266198246
KRIT1	353.526817960904	285.442886829649	344.068672774342	280.794457467503	296.612163416209
RAD52	35.7890440120795	23.3384469699093	23.6234265251538	25.5198321032542	10.5597866330194
BAD	12.8278215604582	8.42446068907799	8.1221063927015	4.10730140321429	13.5486840169833
LAP3	604.191168023119	567.183127876382	598.45644257315	688.219534982225	648.839025903085
CD99	811.789074911677	1220.71810716157	1035.21505983169	1154.84178103536	1477.49773093418
MAD1L1	298.232816658193	353.072470362438	250.942633605433	273.755784791862	261.773456459636
LASP1	359.638567706842	467.322230968747	368.895685644103	399.410049718235	496.778364182458
SNX11	331.904323920488	332.87463597773	343.373062305734	347.802845801038	360.918419151096
M6PR	629.867208949644	769.598893815858	889.194634018553	657.277953707194	717.415897865545
DBNDD1	11.2384297844876	9.93832196173293	5.74864039257486	3.91672718392399	0
ALS2	180.467751693647	150.489824712652	172.532181051215	146.568467550161	124.532470380229
CASP10	352.176142159669	197.713788997594	185.752049897635	159.659820391398	124.625076144401
CFLAR	8006.36535329327	10691.6459151106	11589.0095338658	10566.5088204313	15360.2335535327
TFPI	10.9184144396832	13.3950240506844	2.85395456624597	11.1381857258752	42.9773108406071
NDUFAF7	157.828022154231	193.084040073083	178.599401623371	161.821624066776	159.385939191595
RBM5	1334.08262727362	1324.28595855848	1344.11067970765	1223.21659822705	1269.34861410266
MTMR7	7.64067342242614	5.76892691394842	6.93359094466864	10.8722489232919	9.03245601132219
ARF5	201.323595367192	262.785266038397	243.948477302349	292.485785877431	327.49027695215
SARM1	42.814785023829	42.3583029300496	33.6368625315539	37.7328282006894	30.9291155405802
POLDIP2	618.321525146068	472.490902472769	504.645563198595	561.508970736893	552.079005810764
PLXND1	122.259942574167	571.280548112117	524.793473571255	434.812651794394	562.70187449837
AK2	1215.48543541022	1292.45872999254	1493.51028602305	1632.70267308075	1990.57209937492
CD38	47.8382504547904	5.06249422619589	22.7410056697657	44.6039266578202	3.47608630471937
FKBP4	2370.43745687188	1827.93653135811	1832.87066116684	2160.05544769088	2485.32118216013
KDM1A	1019.42721598158	791.818077671452	897.690421544881	878.481688918167	876.485097809935
RBM6	1086.70526322846	878.575075058301	935.848842084048	906.930533786331	839.682873315548
CAMKK1	263.296463716046	69.4649343219944	65.351207062912	129.711689381841	41.6472717972018
RECQL	214.515391319163	386.994501888528	346.761551154256	307.589854631583	389.32166612857
CCDC132	85.5274744670154	55.2798376892596	68.8210380413561	49.4654650448278	30.8633516811495
ARHGAP33	89.1127966702871	798.567082454313	401.913761485816	374.412343878419	360.676842008428
NDUFAB1	548.617875287529	468.212453730347	508.030841319577	544.744769261949	482.661965530496
SLC25A13	11.8104968824024	16.3229714337375	19.5314412113176	16.4659324322479	25.241218115116
ST7	68.6014320148538	133.440471718569	132.297736646169	127.117587974172	185.40424356993
CDC27	227.288178747242	286.638114315289	289.59571750793	269.515209411925	324.092034556811
HCCS	303.264633785582	308.336683192979	303.260431751942	300.577482212653	352.901944740817
